uuid,level,name,std1,app1,app1(%),app2,app2(%),feat1,feat1(%),feat3,feat3(%),feat6,feat6(%),opt1,opt1(%),opt2,opt2(%),opt3,opt3(%)
02-1f708f7cb182875d325a3ad6f18d6083,2,do_calibration,,,,4,,,,,,,,,,4,0,4,0
02-1f8bfa068eb8a0bef7239c1b07065262,2,__isr_table_entry_z_irq_spurious_irq_646,,,,8,,,,,,,,,,8,0,8,0
02-2014095ba9eb4feaebcfefa21a3fec60,2,m_lut.2,,,,12,,,,,,,,,,20,0,12,0
02-209aa434231c99b705e9816597224478,2,last_static_handle.lto_priv.0,,,,2,,,,,,,,,,2,0,2,0
02-20cb65f9f3dde538e0538e11c9bfe9e9,2,metadata_usage_flags_mapping,,,,28,,,,,,,,,,28,0,28,0
02-212cb1c2414ce0b61e7f9a98625cfb18,2,hids_obj_mutex,,,,20,,,,,,,,,,20,0,20,0
02-21c024ac445d674cb016099b9c56e4a0,2,__isr_table_entry_z_irq_spurious_irq_788,,,,8,,,,,,,,,,8,0,8,0
02-21e3414514e6514ab4f00b9624e2b8cb,2,net_buf_data_acl_tx_pool,,,,148,,,,,,,,,,148,0,148,0
02-2224c753ef85eaa6472d4676eb8ab6ed,2,global_data.lto_priv.0,,,,8,,,,,,,,,,8,0,8,0
02-231501e35bcae1c7777c6f600bfa635f,2,__isr_table_entry_z_irq_spurious_irq_540,,,,8,,,,,,,,,,8,0,8,0
02-2318e7ee33268445a722331053f937e0,2,acl_tx_pool,,,,52,,,,,,,,,,52,0,52,0
02-2372f2c1eb2fa143a1ac5a5ef0c02a66,2,hids_obj_ctx_lib,,,,24,,,,,,,,,,24,0,24,0
02-24f34957bcb53b18e335d802761c8220,2,buttons_scan,,,,48,,,,,,,,,,48,0,48,0
02-258422090f47f8bd38fbbca7359d7ab3,2,s_in_joblist.1,32,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0
02-262eb2c46b4acf72689eb9b114455b72,2,__isr_table_entry_z_irq_spurious_irq_676,,,,8,,,,,,,,,,8,0,8,0
02-285414842246296ce7dbe25ff262b8a7,2,__devstate_dts_ord_57.lto_priv.0,,,,2,,,,,,,,,,2,0,2,0
02-28ba64f5d894447c9ed6dd80bb8a743f,2,nordic_str.1,,,,24,,,,,,,,,,24,0,24,0
02-295d065d5fe18fef983202dcdc66c08e,2,__isr_table_entry_z_irq_spurious_irq_580,,,,8,,,,,,,,,,8,0,8,0
02-2a402a7140c21e2eb89b80201ba822f3,2,conn_auth_info_callbacks,,,,16,,,,,,,,,,16,0,16,0
02-2a79af16c33b81f2ea3ea39d23a582c3,2,__isr_table_entry_z_irq_spurious_irq_574,,,,8,,,,,,,,,,8,0,8,0
02-2b4f06a81f70478114a1cebc4cfec5b7,2,__isr_table_entry_z_irq_spurious_irq_716,,,,8,,,,,,,,,,8,0,8,0
02-2ba54e8ccf33cac1c84b2cb92c088fd6,2,spim_00_rx_buffer,,,,8,,,,,,,,,,8,0,8,0
02-2bfe69ba94a21f6a7d80166b40aa5f7f,2,pairing_work.lto_priv.0,,,,16,,,,,,,,,,16,0,16,0
02-2c0791a1d9b3080ff34aca850c4f7085,2,net_buf_fixed_hci_cmd_pool,,,,4,,,,,,,,,,4,0,4,0
02-2d2decddfd93a4019122fbc2399f4f05,2,__isr_table_entry_z_irq_spurious_irq_578,,,,8,,,,,,,,,,8,0,8,0
02-2d43a71b726546c6b87c9c14e797c0be,2,__isr_table_entry_z_irq_spurious_irq_740,,,,8,,,,,,,,,,8,0,8,0
02-2d9ac9d013a9d0c281e0d9497aa65919,2,z_arm_tls_ptr,,,,4,,,,,,,,,,4,0,4,0
02-2db96d6f02ac01cb7e91a4a1ffee6e7d,2,__isr_table_entry_nrfx_isr_irq_3.1,,,,8,,,,,,,,,,8,0,8,0
02-2f158c4731d76d5975b8546d85de1b34,2,C:\,5238,5770,10.16,3402,-35.05,5766,10.08,5238,0.0,5242,0.08,3740,-28.6,5259,0.4,3398,-35.13
02-2f7b9b698641d824779736780bd3155e,2,__isr_table_entry_z_irq_spurious_irq_710,,,,8,,,,,,,,,,8,0,8,0
02-2fc8406ac33306b248a6f27a63295f4a,2,__isr_table_entry_z_irq_spurious_irq_546,,,,8,,,,,,,,,,8,0,8,0
02-305e3a2cf6368f489ba75171ad0f89a4,2,__isr_table_entry_z_irq_spurious_irq_787,,,,8,,,,,,,,,,8,0,8,0
02-315ee5f2c2cdcf46f7efce36e3363bcb,2,__isr_table_entry_z_irq_spurious_irq_619,,,,8,,,,,,,,,,8,0,8,0
02-316e7f39b0580b06e68ccd7c94a1d88b,2,str.3,129,129,0.0,129,0.0,129,0.0,129,0.0,129,0.0,129,0.0,129,0.0,129,0.0
02-31cfd6e3d717b4ec46e27110289ebf19,2,__isr_table_entry_z_irq_spurious_irq_767,,,,8,,,,,,,,,,8,0,8,0
02-3306eb1299f87e1eaf88939d7f306a2c,2,__isr_table_entry_z_irq_spurious_irq_778,,,,8,,,,,,,,,,8,0,8,0
02-33126d0591c999555b16e2f286021002,2,ll_ctrl_shared_context,32,32,0.0,24,-25.0,32,0.0,32,0.0,32,0.0,24,-25.0,32,0.0,24,-25.0
02-334b30cc91ae3e9ad5c22199dd298c73,2,__isr_table_entry_z_irq_spurious_irq_609,,,,8,,,,,,,,,,8,0,8,0
02-337bea3d62b3a0b0a67cbe69981757c4,2,prng_pool_remaining,,,,4,,,,,,,,,,4,0,4,0
02-341a4eb48d459e3c509356c44e06370e,2,__isr_table_entry_z_irq_spurious_irq_739,,,,8,,,,,,,,,,8,0,8,0
02-346e8b97ef1b34e7632f1122675aac1a,2,CSWTCH.*,,,,265,,,,,,,,,,440,0,265,0
02-354dcec8d597dbf3a1f4b392b7b20115,2,mbedtls_free_func,,,,,,,,,,,,,,4,,4,0
02-35c6c7cd5d0fbe9a47b8741502adac3e,2,uarte20_poll_out_byte,,,,1,,,,,,,,,,1,0,1,0
02-35ca05639f20c04e4314ee4b69a85133,2,mlen.1,2,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0
02-35cd44e69664c9b52bf9fcfeae436b14,2,__isr_table_entry_z_irq_spurious_irq_699,,,,8,,,,,,,,,,8,0,8,0
02-365c9bd4a8161176c4f9797dba6c2dd5,2,__isr_table_entry_z_irq_spurious_irq_623,,,,8,,,,,,,,,,8,0,8,0
02-37671950dacc3483f090f19c10dfb46d,2,__isr_table_entry_z_irq_spurious_irq_599,,,,8,,,,,,,,,,8,0,8,0
02-37c6ae61635797a3852bf091496dc562,2,memory_jobs.5,48,48,0.0,48,0.0,48,0.0,48,0.0,48,0.0,48,0.0,48,0.0,48,0.0
02-37fb2617e09d48273636984b6838f889,2,__isr_table_entry_z_irq_spurious_irq_785,,,,8,,,,,,,,,,8,0,8,0
02-3884c6dbc17aea521b44815f439d8e3e,2,mbedtls_heap,,,,512,,,,,,,,,,512,0,512,0
02-38bc2537b3da74055564899c14bb7e5b,2,hci_cmd_pool,,,,52,,,,,,,,,,52,0,52,0
02-38d7b76b771634bb6aaae4ffde5922a8,2,_sw_isr_table,2168,2168,0.0,,,2168,0.0,2168,0.0,2168,0.0,2168,0.0,,,,
02-3906b4ead27b70fcb2034f8d49fa1639,2,__isr_table_entry_z_irq_spurious_irq_670,,,,8,,,,,,,,,,8,0,8,0
02-39108eb4c90b6ccb7411c50468fe17e7,2,__isr_table_entry_z_irq_spurious_irq_673,,,,8,,,,,,,,,,8,0,8,0
02-393461184f75407588ce36b924b824c3,2,_net_buf_acl_tx_pool,,,,80,,,,,,,,,,80,0,80,0
02-3a398a246c2152d9ecc35b059c0da1f1,2,hfclk_users,,,,4,,,,,,,,,,4,0,4,0
02-3a489591cbc0848d0d882e3afb3617d8,2,__isr_table_entry_z_irq_spurious_irq_588,,,,8,,,,,,,,,,8,0,8,0
02-3b40c9535c04929ec10769ab49b4de32,2,CMD_ECC_PTONCURVE,,,,20,,,,,,,,,,20,0,20,0
02-3b68c8058a2d6ba9e002a0bf8348e2f5,2,var_str.0,,,,16,,,,,,,,,,16,0,16,0
02-3b8238b190187fceef29c292cb88b526,2,z_main_stack,3584,3584,0.0,3584,0.0,3584,0.0,3584,0.0,3584,0.0,3584,0.0,3584,0.0,3584,0.0
02-3b834c10274f71700dcb6c2f8af2d2f1,2,uarte_20_data,,,,8,,,,,,,,,,8,0,8,0
02-3b92d741738cf203b70313f89de27c6f,2,device_name,,,,4,,,,,,,,,,,,,
02-3bb729b20beac8a5e0aaa9e0def1e6d4,2,__isr_table_entry_z_irq_spurious_irq_613,,,,8,,,,,,,,,,8,0,8,0
