uuid,level,name,std1_release
02-5e59c841747e03f1ad800c49bfc82d51,2,__pinctrl_state_pins_0__device_dts_ord_56,4
02-5f548e824cd4aef16e60702551eceea5,2,continious_report_flag.lto_priv.0,1
02-602e87fa8ebae555adf03ffe27591545,2,curr_tick,8
02-60ef67dfea903556003c71470b98e88c,2,__isr_table_entry_z_irq_spurious_irq_725,8
02-6132bca83a4cd9c08eb8504f1f608b68,2,last_state.0,4
02-6182786963cf650c85f865432288dfd7,2,__isr_table_entry_z_irq_spurious_irq_595,8
02-6226f7cbe59e99a90b5cef6f94f966fd,2,sd,8
02-63dcea84fdcbdf06bb0696b61eacdfba,2,__isr_table_entry_z_irq_spurious_irq_664,8
02-63de3862e1ffedf6c874d890656d63e1,2,sc_supported.lto_priv.0,1
02-63e87ca8fa5bff4c61d8b59501da01c6,2,__isr_table_entry_z_irq_spurious_irq_597,8
02-63ef99316b9a208e2cb725a56c2be249,2,__isr_table_entry_z_irq_spurious_irq_575,8
02-65506669bc8fef395feaad483c292704,2,__isr_table_entry_z_irq_spurious_irq_760,8
02-65901c98ec235d87526274b9a2375d3d,2,irq_enabled,1
02-65e3af4198a3ba671730e5a1254a1758,2,z_interrupt_stacks,2048
02-669fe30281b6369e3003faa8f1e3298f,2,_net_buf_att_pool,200
02-66cffcc48a6c7a33cf5277f7b40777ee,2,s_trx_rx_frame_action.0,1
02-670cd702e336af87c629e19a0cb51131,2,CMD_ECC_PTMUL.lto_priv.0,20
02-672bb157265be40c4b1f22e67a85735d,2,__isr_table_entry_z_irq_spurious_irq_726,8
02-673f31f4bfd65e07133b14e756a08b25,2,bt_l2cap_pool,168
02-67556d4ef061f61d24864753e20bacd7,2,spi_21z_config,76
02-676b69744b13b9a4e38499db2414fb88,2,port_offset.1,16
02-67875844ce83433ef01388f2f9c5e2f3,2,__pinctrl_states__device_dts_ord_56,8
02-67edb3f00b52573a5f0091a44e0e414f,2,uuid_16_tab,160
02-681bde8e62db002e6da8e98294bd9ace,2,__isr_table_entry_z_irq_spurious_irq_568,8
02-686cf4a22d3ed1afd40bcd60b0137803,2,_net_buf_hci_cmd_pool,56
02-68941c0a3003b335b2b78c60abc1698e,2,ops.0.lto_priv.0,40
02-68a56c3e2433272c86cbe6332db118d4,2,pages_layout.1,8
02-690fdc0e68da88ea239074ec50ca8880,2,__isr_table_entry_z_irq_spurious_irq_685,8
02-694f920375c97a7a6fc891957aba5454,2,hci_driver_api.lto_priv.0,12
02-6a53c4a6cebff26dace6315eb5eb237b,2,chrc_locks,4
02-6acb4cd4ad55f4eb93ea02404f003123,2,handlers.lto_priv.0,96
02-6ba9d128a7a061a4fc13971104fa9076,2,m_lut.1,12
02-6bbb130c25694027a894a6e116aea904,2,__isr_table_entry_z_irq_spurious_irq_543,8
02-6bc86902bb636f59c0d0d59b38c43f0a,2,__isr_table_entry_z_irq_spurious_irq_703,8
02-6bd45937ec0026e465235338523e800a,2,announce_remaining,4
02-6d5fa34e98084c7bc0a8614c90c8d14d,2,__isr_table_entry_z_irq_spurious_irq_558,8
02-6d77c2d7d36ed65d89d93c83858631fe,2,debug_public_key,64
02-6da43579d8b9414ae6dea9e414b0cb59,2,conn_change,16
02-6e43fe22830f8b83c7181b5dafe6c165,2,config.lto_priv.0,16
02-6ee4aff4238ac5b672292778ae156701,2,_context,68
02-6eef051a28f65218942eda7c5aa2d56d,2,__devstate_dts_ord_64,2
02-6f54e5744b29314c597b0f865a535fcd,2,button_handler_cb,4
02-700229a6650e068dc32760112dec821b,2,handle_index.0,1
02-702baec9bfaa374158f25acb98994996,2,__isr_table_entry_z_irq_spurious_irq_561,8
02-7071210d6d892d2ad74c8c6fa9bea9fd,2,__isr_table_entry_z_irq_spurious_irq_776,8
02-7192a03bf8fe0449a7668abc683e9263,2,uuid_128_pool,8
02-71948a534eca54f72dc0c8676cf68aff,2,__isr_table_entry_z_irq_spurious_irq_709,8
02-71d3af2db695ec20f3c4af8748546da1,2,k_sys_work_q,176
02-7217f778d5ce13763bee4443db68d155,2,m_event_setup,48
02-7241f0f260f968f2eb5ca7ccb5a3ec92,2,z_idle_stacks,320
02-735c4efa6ac3e1e45b1ae2a70a62f44d,2,mpsl_work_q,176
02-736a996f94a8f39fb03a85ecd0483d52,2,__isr_table_entry_z_irq_spurious_irq_742,8
02-73ba993f5c42e926f2c9480253e2ae85,2,__isr_table_entry_z_irq_spurious_irq_766,8
02-73bb1902066aca294c85cd3f1f037e1a,2,__isr_table_entry_z_irq_spurious_irq_779,8
02-7453818a81866954dbc648cc19b78a73,2,cli.1,16
02-746564e2f589948b0b1a5a1f3bfa4bbc,2,__isr_table_entry_z_irq_spurious_irq_755,8
02-748bfed7a8806f0120fc8b1f678ac193,2,__isr_table_entry_z_irq_spurious_irq_706,8
02-751d70e2c23da4783a2692700a83c29d,2,_net_buf_hci_rx_pool,320
02-75873fc0f1969bdd287d037380f0b868,2,_k_mem_slab_buf_req_slab,140
02-76f197ffe3e84e735f00a1c8dd400ee0,2,mitm_queue,48
02-7777195eba8a6110e0e9a9e7e32aab00,2,hfclknotreadycounter.0,1
02-77b9b1d79da704a171d6af3f4e843f7e,2,mbedtls_threading_psa_rngdata_mutex,20
02-77c28b9148545259e7f92c347eff7c9b,2,__isr_table_entry_z_irq_spurious_irq_603,8
02-787224f3f1f39afb87275f95e1ac7887,2,__isr_table_entry_z_irq_spurious_irq_539,8
02-789743ed022521a600d1e79e24dbe152,2,m_lut.0,12
02-789c3e92e7ea24633ab6284a039d6ffd,2,__isr_table_entry_z_irq_spurious_irq_761,8
02-792060b01796377d9b872521e57d341d,2,my_buttons,4
02-7928e79d25a100a4722069a6a6ac1b0c,2,net_buf_fixed_alloc_att_pool,12
02-792cdbb2ff2168ced5d2267c5da659ca,2,last_button_scan.1,4
02-793dcdcf1d8de930fbecc2bb08e56149,2,__isr_table_entry_z_irq_spurious_irq_711,8
02-796cd4a29928db0d5b2aa6edff3f6658,2,__isr_table_entry_z_irq_spurious_irq_783,8
02-7997e85a06c64b34942468ff5904ceab,2,m_cb.lto_priv.2,20
02-79a36aba895fe01134613c2e45a6b4d7,2,__devstate_dts_ord_130,2
02-79fd66389ed9f4f9407ff0101603bbaf,2,__isr_table_entry_z_irq_spurious_irq_589,8
02-7aa3012c99367934dd5ba7b7b79998c5,2,__isr_table_entry_z_irq_spurious_irq_696,8
02-7b92e6e31c0eaccf87d1c2f29e76b9af,2,__isr_table_entry_z_irq_spurious_irq_686,8
02-7bd91cee7cd5ef4e8c223dfd6c5bbab2,2,hids_obj.lto_priv.0,696
02-7c76b6a21abe1104b05df7cd6b76a709,2,__isr_table_entry_z_irq_spurious_irq_702,8
02-7cce592f66e8b60406e2273344d6a3f8,2,__isr_table_entry_z_irq_spurious_irq_573,8
02-7cf20fe4bdc488efd21aa5b79cbd21ec,2,__isr_table_entry_z_irq_spurious_irq_682,8
02-7cfdb66d8fc5b02fa693eeb94f56f304,2,sc_ccc,56
02-7d01e04a7dfe9cf222a8b729b7d234d6,2,tx_meta_data_storage,120
02-7d0d4e9e9148e130857ddb83462522b5,2,_kernel,32
02-7d1e63f38687fa2eedbf2554c317b708,2,shift_key,1
02-7ddee017846abf1b943abc2afe1f6dfb,2,__isr_table_entry_z_irq_spurious_irq_606,8
02-7e09f281a4c530ee8a481c4332346144,2,__isr_table_entry_z_irq_spurious_irq_679,8
02-7ea5cbd25f067789974994faffb6773a,2,__pinctrl_state_pins_0__device_dts_ord_97,12
02-7ec96d6b568a019e13895f5b970dea6b,2,net_buf_fixed_discardable_pool,4
02-7ee6507a66351b9d2f94ec3c874aa379,2,s_out_job.0,16
02-7f148e9ee880d2f2507084b037472349,2,net_buf_fixed_acl_tx_pool,4
02-7fa374f0660a29b2de6c9b637597b83a,2,__isr_table_entry_z_irq_spurious_irq_655,8
02-7fbf000edfe487a6b9a59e2598141e96,2,sc_cfg,48
02-7fe769734c732702044a647c8cc7b65e,2,__isr_table_entry_z_irq_spurious_irq_637,8
02-80e0d0351f9d91591bdc3ea62cd2d9a3,2,calibration_work,48
02-8111b4ad30751c46ecbceda42ec6a1e7,2,__isr_table_entry_z_irq_spurious_irq_559,8
02-813a71cad112610477f42d8b89ac800e,2,__isr_table_entry_z_irq_spurious_irq_587,8
02-816e0e689005b92b928a254f55ca9543,2,__isr_table_entry_z_irq_spurious_irq_731,8
02-81961392644313b3e7c378f61955092f,2,timeslot_context,48
02-820be1fc4dd67759f5936d98d6d2b255,2,__isr_table_entry_z_irq_spurious_irq_610,8
02-82921dc7fcb10a4860f26ce95b3a80e8,2,__isr_table_entry_z_irq_spurious_irq_748,8
02-83547888427d0a74fe9eb0b8831182b9,2,__pinctrl_state_pins_0__device_dts_ord_125,12
02-838ff9e2b5c9bc8dd9d1482c2e76a298,2,settings_lock,20
02-83c09dbfbcf0ef67893422ba4f8a223f,2,__isr_table_entry_z_irq_spurious_irq_687,8
02-84917115db7fc982cd67bd759fd0890c,2,SystemCoreClock,4
02-84efbf4c50dfc22f09254dae3c3f63b3,2,__isr_table_entry_mpsl_low_prio_irq_handler_irq_11.1,8
