uuid,level,name,std1,stdz1,stdz1(%),opt1,opt1(%),app1,app1(%),app2,app2(%),feat1,feat1(%),feat2,feat2(%),feat3,feat3(%),feat4,feat4(%),feat5,feat5(%),feat6,feat6(%),feat7,feat7(%),feat8,feat8(%),feat9,feat9(%),feat10,feat10(%)
02-19fc55dc23d46a62d5d51a114b581d45,2,sdc_hci_cmd_vs_conn_update,100,,,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0,100,0.0
02-1b106abd35545367c66f3cfa318936c7,2,sdc_hci_cmd_vs_get_next_conn_event_counter,30,,,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0
02-1bad3c00dded1e49ada0434ab84bd112,2,__device_dts_ord_4,20,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,24,20.0,24,20.0
02-1bdd327417110e0179060c5883d673b2,2,ocrypto_aes_ecb_encrypt,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,
02-1c29ac0ab69660bfc944d1a913ecda64,2,cq,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,
02-1c308851428efdb7417604857b2a39ee,2,CSWTCH.*,,,,,,,,,,,,,,,,,,,,,,,,356,,,,,
02-1ca5f54e09d3390089c6b8e0b100f985,2,ocrypto_bigint_cswap256,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,
02-1d67a8fbeff7661c831f485964fbd24e,2,att_handle_read_blob_rsp,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-1dc29b58647256561f4f00d7a5ab0e7f,2,mpu_config,8,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0
02-1de2f0e7f84472c209531d7fb98f7367,2,sdc_hci_cmd_lc_disconnect,4,,,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-1e2bf60493578b5f49986ac837c42da9,2,ocrypto_constant_time_xor,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,
02-1ef4b6e13d8f6cd393f65059014dd3db,2,__aeabi_ul2d,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,
02-1f267d237f36ee4f7daebfaca13bbbf1,2,llcp_pdu_decode_phy_rsp,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-1fd2bc9373a5051c13b6a464812d220f,2,sdc_hci_cmd_le_clear_resolving_list,4,,,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-1ff749f9877b82913a087a6fce1668bf,2,sdc_support_adv,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,
