uuid,level,name,std1
02-f94b7dcef68abddb5f5207d7f09092ed,2,flags.0,1
02-fa87a29cec6f9ce04d9b2ed8dde0080e,2,report_map.0,63
02-fe69fd0a878b10d190c924b2398bad9c,2,drivers,10585
02-ff5da1fc1073848afb40ba15005e5b35,2,__device_dts_ord_125,20
03-020a8cfa922969a0b9035333f45988c3,3,ncs,62172
03-071c0719c67955bb75a799d3fae5d0c2,3,isr_tables.c,1084
03-0800fc577294c34e0b28ad2839435945,3,hash,128
03-08f2c7846e02f19ae7b28b995b34587c,3,hal_nordic,6
03-0b0760e072413088ea8460c3b4f43dbe,3,spi,2274
03-0fea6a13c52b4d4725368f24b045ca84,3,cache,16
03-1a4ed29befb37b814e1adce39b64ef5a,3,kheap.c,246
03-1cb1159e7da1396bb694434a958c45ce,3,init.c,644
03-20a2fb1756e57575dd4d370cac1f07a7,3,condvar.c,108
03-213c7980207cea7201cff8d664caf150,3,clock_control,1082
03-220b2a9ccbd0bf6d61dd085da17c5380,3,work.c,1570
03-225e8a3fe20e95f6cd9b9e10bfe5eb69,3,adc,1432
03-239d44f09ba4c853288f72de00e8538b,3,timeout.c,838
03-261ec5b4f78e6414af1f2102e74f4980,3,mutex.c,430
03-2b3583e6e17721c54496bd04e57a0c15,3,utils,1242
03-2c127bf32ccb4edf2bf22fea5a00e494,3,timer,372
03-2e5d8aa3dfa8ef34ca5131d20f9dad51,3,settings,2174
03-2eb9a102efc2c5e76b739c50b558b39a,3,xip.c,56
03-37a184204b9448f00fb83003d8a6cc69,3,entropy,84
03-3fedd55aa249fcb8886ab4476d5a5df4,3,events.c,302
03-4d29ea5f748c4cfda37434ce76a5e788,3,opt,190
03-4d4a9aa362b6ffe089fd2e992ccf4f5f,3,heap,1370
03-4fb69dc1bf667cfbc2b05dc5fd51e674,3,thread.c,238
03-5820979d7ad53bb60580bee266f9d384,3,msg_q.c,438
03-5ae9b7f211e23aac3df5f2b8f3b8eada,3,crypto,6000
03-6406e0607655451a77bcf0a54c3d637c,3,pinctrl,411
03-67e92c8765a9bc7fb2d335c459de9eb5,3,work,11761
03-6c90e8978ae0cba686caef23f41ebb71,3,mem_mgmt,12
03-6ce5bb4dbd940b828fa496317a1b0878,3,banner.c,12
03-75cd9b613b8633e4c20e9b5020da2011,3,timer.c,396
03-7764e463c73a54e4bb79b9b9e419e145,3,pwm,586
03-779f8a3a8c60f325a2171a2653d27f6e,3,zephyr,1112
03-7abb446738b4dfa1b0d7734371b8946e,3,net_buf,730
03-7bca95052a036e1dc82f07529fd2b44d,3,idle.c,22
03-7ddf32e17a6ac5ce04a8ecbf782ca509,3,random,32
