uuid,level,name,std1,std1_release,std1_release(%)
02-08d430dcd4a49c69816ff6914197cc5d,2,__isr_table_entry_z_irq_spurious_irq_617,8,8,0.0
02-08eb15ae38f1e2e90839bae4d3526534,2,__isr_table_entry_z_irq_spurious_irq_720,8,8,0.0
02-08f98eb6cdc23b73c84749b5b475d606,2,bas_init.lto_priv.0,4,4,0.0
02-090eab40efd3fd504b6345662cb86b92,2,__isr_table_entry__isr_wrapper_irq_370,4,4,0.0
02-091b775a4b55c011411f48f9cc074841,2,__isr_table_entry_z_irq_spurious_irq_705,8,8,0.0
02-099a80051ec92e7b1b22522a7a22642c,2,nrfx_gpio_handler,112,88,-21.43
02-09c4fd9c4cd615bc0ea5f27c3cb5618f,2,read_ppcp.lto_priv.0,40,40,0.0
02-09ca471ceeb45d2cc92c1661bda060e8,2,log_const_bt_ecc,8,,
02-09f8eaefa073c019899d69fe52ee313f,2,m_generate_data_buffer_overflow_event.lto_priv.0,10,10,0.0
02-0a015fa112c5ad39f4aba0324aeee2c7,2,sys_hash32_murmur3,128,128,0.0
02-0a04c27110abdc95c73f9305088e97c3,2,free_list_remove_bidx,92,92,0.0
02-0a1fca5018224df01fccd9049c2f4ecf,2,__isr_table_entry_z_irq_spurious_irq_628,8,8,0.0
02-0a3c17be1d8c170919b5a9157c347737,2,m_ll_event_get.constprop.0,356,356,0.0
02-0a3d4818a449b0697ee63c3028464f3e,2,m_process_connect_ind.lto_priv.0,520,520,0.0
02-0a4338ea3651b750487758d27cb904c1,2,ops.0,40,,
02-0a6860e83a5bef7351fe2f9e60a849ec,2,init_mem_slab_obj_core_list,100,60,-40.0
02-0a720d420f98c3fe21ccbfd2a2f6a104,2,net_buf_simple_pull.part.0,28,,
02-0ace0db909023ba85024f09916ecee6c,2,__isr_table_entry_z_irq_spurious_irq_775,8,8,0.0
02-0afd0d2c3d96ddbeb460faed416fa3b9,2,__isr_table_entry__isr_wrapper_irq_500,4,4,0.0
02-0affc41f57751093c5250de4000c69b4,2,rem_request,620,620,0.0
02-0b0030d554d1320fa293688b5c2e6baa,2,smp_init,76,76,0.0
02-0b1317248ee6ac8d6c992cc221ce0953,2,smp_pairing_failed,88,74,-15.91
02-0b7e3e9e205ec56c9eaa4435930e46bc,2,m_allow_setting_addr.constprop.0,36,36,0.0
02-0ba77a20ef344d7cf1d2787ae9133619,2,m_anchor_point_update_report_fields_populate.lto_priv.0,,32,
02-0baa757cf1c2eb0529df392b37709912,2,bt_id_set_adv_private_addr.constprop.0,36,36,0.0
02-0bb404d52f0eeefdd34e968ccd87c99e,2,__isr_table_entry_z_irq_spurious_irq_757,8,8,0.0
02-0bd5a956ab07da5ef07aafa072af8af0,2,bt_gatt_identity_resolved.lto_priv.0,,56,
02-0be02ec0936aad1fb8a97cc3c11b8d14,2,m_callback_ll_power_control_enqueue_packet,4,4,0.0
02-0bf56aec61dae65a6100f98bda3ab310,2,hci_driver_close.lto_priv.0,108,108,0.0
02-0c3cb171b6b61b13ac050c16b5081d9c,2,__nrfy_internal_pwm_events_process,98,98,0.0
02-0cb15fa9e1d6008c9f7c207636e458c8,2,delay_machine_code.0.lto_priv.0,6,6,0.0
02-0ce798db6b3dfdf9186eea35fef0efbc,2,__isr_table_entry__isr_wrapper_irq_148,4,4,0.0
02-0ceed713246d7df85a4c6174607645dc,2,bt_gatt_foreach_attr_type.constprop.0,308,284,-7.79
02-0cf59f76f39bb326a8cff94aa205b995,2,le_param_req,24,,
02-0cf875fda5bab7de4d170bf78b9000e0,2,psa_validate_ecc_key_attr.lto_priv.0,184,184,0.0
02-0d0d26d6cb4f5b9fbb91267fef5156f2,2,bt_conn_reset_rx_state,18,18,0.0
02-0d3f42bbc69d289a9267c86583353761,2,__isr_table_entry__isr_wrapper_irq_450,4,4,0.0
02-0d543c4be79df37b105fac33572a3c1d,2,__isr_table_entry__isr_wrapper_irq_164,4,4,0.0
02-0d690fea79d10f22a28891774b4bed73,2,rem_hal_event_timer_sig_src_cfg,148,148,0.0
02-0d85989e3c8f8077fbb961e284c19302,2,m_slave_rcvd_length_req_proc_cb,4,4,0.0
02-0dcdb7970d541ac59fcd3c36ed2a6ea0,2,sx_pk_run,46,46,0.0
02-0df725f304f302d775222e9d59a4c687,2,find_sc_cfg,,56,
02-0dff49faf0f543995117aa5f1f7c8fae,2,mbedtls_threading_psa_globaldata_mutex,20,20,0.0
02-0e2197f26d63cf055986d66d962c46a4,2,psa_remove_key_data_from_memory,36,36,0.0
02-0e3226bb5894e16952512bbc8ab48227,2,rx_work_handler,636,372,-41.51
02-0e6ddc232dc3edcc41e6e2d5737ceb79,2,pin_trigger_enable,,160,
02-0eae323390b4fd1875d91a9d2640361e,2,ba411tags,16,16,0.0
02-0eb70b66a36643d931aa590d56213c7d,2,hids_outp_rep_ref_read,38,38,0.0
02-0f06bae630ce2c59893fc3d0c59891a4,2,rem_request_query,196,196,0.0
02-0f136d9604dbc292d653fb4b1b414746,2,z_irq_spurious,10,10,0.0
02-0f1c1e33ca0e658ca20ddb2337fb2f61,2,call_handler,62,62,0.0
02-0f242017f34f5349c3aec4114c634734,2,__isr_table_entry_z_irq_spurious_irq_698,8,8,0.0
02-0f8109b4a3536bb52edf708464528010,2,psa_register_read,26,26,0.0
02-0f85e9215830daf3600468a741647a3f,2,mpsl_lock,,20,
