uuid,level,name,std1,stdz1,stdz1(%),sci,sci(%)
02-921440b41839024f0126dfd0684505c2,2,sdc_hci_cmd_le_read_transmit_power,4,,,,
02-92c3fda29a4eb64f1ad361dc6712dd8e,2,lll_scan_reset,,4,,4,0
02-92eef30d704f8c56eb40ad735c3943ca,2,sdc_hci_cmd_vs_zephyr_read_key_hierarchy_roots,58,,,,
02-9908203b01d15ea10ff9a71735132c76,2,transitions.0,12,12,0.0,12,0.0
02-99f07fb4ea17c443473a57d45c73d950,2,sdc_hci_cmd_le_set_event_mask,10,,,,
02-9a53d0dc753eab54114bfd69e00b4bce,2,sdc_hci_cmd_le_long_term_key_request_negative_reply,8,,,,
02-9baa5c10260d30c2cb450c88b371fada,2,mpsl_fem_pa_power_control_set,12,,,,
02-9ca6c552266834e18e4a944e69b8db85,2,sdc_hci_cmd_vs_scan_accept_ext_adv_packets_set,4,,,,
02-9e66669842ebd8ee4ec58c8520c0ab08,2,sdc_hci_cmd_le_add_device_to_resolving_list,4,,,,
02-9f531f8b1f20944d54615b364f472cb5,2,__aeabi_ldiv0,,2,,2,0
02-a3aa508ba7cd60a8b3f8ae28a783b630,2,__device_dts_ord_23,20,,,,
02-a603f49051740b9e12975b090bc69d98,2,m.7,,16,,16,0
02-a62d70e08d208070b3fe0b72a075a5e4,2,sdc_support_phy_update_central,28,,,,
02-a72e02fcd8540aa41124b36bd269be77,2,sdc_hci_cmd_le_read_channel_map,4,,,,
02-abecbb366092d8c5a4970430ed162aa1,2,sdc_hci_cmd_cb_set_controller_to_host_flow_control,4,,,,
02-adcf7c8a91921eb64d0de9451957291f,2,__device_dts_ord_113,20,,,,
02-b2e984aa2debf363ae0f5b7f641db30f,2,sdc_hci_cmd_le_conn_update,4,,,,
02-b33b3754fc3ce4bd7c11bc9a137dd817,2,m.6,,16,,16,0
02-b4b7a3831303dd9ecb078813ae0e3820,2,events.0,,40,,40,0
02-b5041da60dd6d17fbce0d1dce1636675,2,__device_dts_ord_57,20,32,60.0,32,60.0
02-b675d2fe9f42c898e3a4836fd7c44fbe,2,platform_free_uninit,2,,,,
02-b6fa42489d673f3b091b2a383e67ed0d,2,sdc_hci_cmd_le_set_host_channel_classification,4,,,,
02-b7caad746afad4d73ec831ff1b9513da,2,sdc_build_revision_get,36,,,,
02-b89bfde627a60c39266ab081adab5aac,2,sdc_hci_cmd_vs_min_val_of_max_acl_tx_payload_set,4,,,,
02-b91781d8e52bb9ff5b19d12bc440cf3b,2,pdu_validate_reject_ind,,14,,14,0
02-ba5c6f861f34e2c79eaa921981723767,2,sdc_disable,36,,,,
02-babe32a5f64dce84480a6da9eebb38a4,2,__aeabi_idiv0,2,,,,
02-bbb472961737a6d9b0027d338f9bf5fe,2,mfy.2,,16,,16,0
02-be8da0e5e35f5ce53fead1bded6cbee3,2,sdc_cfg_set,448,,,,
02-bec6ce0af34f934bb2f370638696dee8,2,MPSL_IRQ_RADIO_Handler,44,,,,
02-bf8c62203a98fe64279cbbbe9f4ae317,2,mpsl_tx_power_radio_supported_power_adjust,32,,,,
02-bfa76f472f1b232cea81ccf49ef47a94,2,sdc_hci_cmd_vs_central_acl_event_spacing_set,4,,,,
