uuid,level,name,std2.8.0,std2.9.0,std2.9.0(%),std3.0.1,std3.0.1(%)
11-d9d99b7127830785ac9668f6d6ee46eb,11,cracen_cmac_update,,,,218,
11-dd88f727c612537e16048c16e66ef8e8,11,decode_scalar_25519,,,,22,
11-e1682c227fad95c697aed1fbf537ae06,11,lib_kmu_read_metadata,,,,48,
11-e1f833d3234ca9c4d32e4981b6bd962d,11,cracen_clean_ik_key,,,,4,
11-e4407744dbbcc823ec4e2c79a0fa0463,11,lib_kmu_clear_all_events,,,,36,
11-e4661916d22b5526ca4343c3cdba777a,11,sx_clrpkmem,,,,60,
11-e57ac30c7c9a4ca7bca1d66b4ff4225f,11,generate_ecc_private_key,,,,216,
11-e5db6751998f88ee543e905db18282f4,11,baremetal,412,412,0.0,448,8.74
11-e61120777ac0bd1de39f1b405b39a4c9,11,cracen_export_key,,,,168,
11-e6f39599329eb7121aeb0383decc18ac,11,hash_consume,,,,48,
11-e77006ef31e4ff6f7d179bec04102ce3,11,cracen_init_random,112,112,0.0,112,0.0
11-e7b1bb8534df87c26b52f6be351d8391,11,si_hash_create,,,,96,
11-ec634b6fc36f091be4bcff3a0401b098,11,cracen_prng_value_from_pool,,,,76,
11-ed61f54a1bc166ae263896c838203366,11,start_hmac_computation,,,,12,
11-edfbf38f0ff10accb56493102d24b5ba,11,sx_trng_open,236,236,0.0,164,-30.51
11-f011e01f3a0c0a006bdecbf7a772fa10,11,sx_cmdma_check,78,78,0.0,78,0.0
11-f0eaaebf65a1c176fe9b4645cb2f2916,11,cracen_prng_context_mutex,4,4,0.0,4,0.0
11-f26999c4b841f1a16a4c7c7e79b8067a,11,cracen_mac_sign_finish,,,,144,
11-f31a8309d6891126c63b75caf3fb70ba,11,sxbufops.c,,,,154,
11-f35b0d3a01e31c1ec9142a6b31af1e32,11,clean_up_unfinished_provisioning,,,,70,
11-f36abee8e8181f39ff6fbda481501334,11,cracen_export_public_key,,,,296,
11-f42b43156574b312f9399562cd8153bc,11,cracen_generate_key,,,,124,
11-f5f422aa042a8dcb2683ba32b0823768,11,read_primary_slot_metadata,,,,54,
11-f6989b015df21469d3e44dcb42e44fe7,11,sx_mac_status,,,,34,
11-fac1fb950e530b139cd0f4a210fa8c4f,11,lib_kmu_provision_slot,,,,96,
11-fcc0842a85312d135a07c00f74a0227e,11,hash_produce,,,,52,
12-03d0b8ef98c2524e966491351ced6dd5,12,sx_pk_get_regs,,,,8,
12-10c82873e29731c597743040616e4f9d,12,sx_pk_mem2op_be,,,,46,
12-362a26830c889c705dc5791dd860a98d,12,sx_pk_fetch_capabilities,36,36,0.0,36,0.0
12-3c287ee9283d3f2242e8954d62ee639c,12,read_status,,,,32,
12-407f841ceef29b00956c1319c54ade7d,12,ba414ep_is_busy,,,,10,
12-43bde549f130137c3969d79f49d5f275,12,ec_curves.c,,,,637,
12-44f0cbab43d4061c1dc047bd6a579531,12,sym_*,,,,24,
