uuid,level,name,std1,app1,app1(%),feat1,feat1(%),feat3,feat3(%),feat6,feat6(%),opt2,opt2(%)
02-0fd8006230149ab229847684e149586d,2,k_cracen_mutex,,,,,,,,,,20,
02-0fff88c07796f6997bf005593b15c507,2,__isr_table_entry_z_irq_spurious_irq_741,,,,,,,,,,8,
02-1003d7d17e0068ffa89071fa06bc4afd,2,sdc_hci_cmd_le_set_default_phy,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-10460ca8b067bc18da64c2e82eda1d22,2,read_pnp_id.lto_priv.0,,,,,,,,,,24,
02-10a6432854346ec3c586d511372ad1cf,2,att_find_type_req,,,,,,,,,,192,
02-10ad58af670c0132e8ce7bc45820c6a1,2,__isr_table_entry__isr_wrapper_irq_272,,,,,,,,,,4,
02-10ae1b43e1fc7c6fb8dc5724c0078b20,2,bt_le_adv_resume,,,,,,,,,,220,
02-10bd057dbaae1fb82a5334f681effd3c,2,bt_att_chan_send_rsp.lto_priv.0,,,,,,,,,,28,
02-10c8101ac71baeaa267f63e6b7ba8427,2,bg_thread_main.lto_priv.0,,,,,,,,,,3148,
02-1100c46fd195a178983a5135e0d22f68,2,tc_aes_encrypt,,,,,,,,,,182,
02-112f9b5b92ffb82b7882d1837b379d88,2,convert_to_id_on_match,,,,,,,,,,32,
02-116abace34efc102a7ab6bfedbd435bb,2,__isr_table_entry__isr_wrapper_irq_96,,,,,,,,,,4,
02-116ee16751712b70079618dbe25b7ec4,2,bt_l2cap_recv,,,,,,,,,,80,
02-119146ba50173a8a81e2542ba447b2a3,2,SystemInit,,,,,,,,,,156,
02-11d6b18b1d4e40cf9c3b1a5cab49f28e,2,gpio_nrfx_manage_callback.lto_priv.0,,,,,,,,,,80,
02-11e58088702fbcb5b7356e4dde5d11c8,2,pending_recycled_events,,,,,,,,,,24,
02-11ec39bbc3c72cb80354711b21f27d3c,2,k_poll_signal_raise.lto_priv.0.lto_priv.0,,,,,,,,,,132,
02-1240feb14683c41180f948436d2e4819,2,k_cracen_prng_context_mutex,,,,,,,,,,20,
02-126f1e73863a1e10a60a31829c106b41,2,__isr_table_entry__isr_wrapper_irq_260,,,,,,,,,,4,
02-12a3736bb04834698987859685233b4b,2,zms_flash_data_wrt,,,,,,,,,,52,
02-12ab9550b3cfcb7f0b37ee2fa481c129,2,zms_get_sector_header.lto_priv.0,,,,,,,,,,72,
02-12b0b87bb412c741b4cc73cf9327f04d,2,smp_public_key,,,,,,,,,,172,
02-12db0d6ce4c0a9e11c9b85f82e3a9d03,2,__isr_table_entry_z_irq_spurious_irq_536,,,,,,,,,,8,
02-12f5c7ec4a00534ed2de6811a721aa56,2,__isr_table_entry_z_irq_spurious_irq_692,,,,,,,,,,8,
02-130e43a92b201aa621ce2e8389b33809,2,__isr_table_entry_z_irq_spurious_irq_600,,,,,,,,,,8,
02-1362833441419646b01cf979e676b51d,2,multithreading_lock_release,,,,,,,,,,12,
02-13d61ff0a2f53ea821c20cb5fb0a1d29,2,bt_id_del,,,,,,,,,,304,
02-13d8c90a8a1bec2fb8a75aa1bd60d694,2,gen_method_sc,,,,,,,,,,25,
02-13d90d84ada6252899ad7462e4b856bb,2,bt_att_disconnected,,,,,,,,,,296,
02-13dcbc38068b87960c87040c89c0b39c,2,log_const_mpu,,,,,,,,,,8,
02-141e2443481eb13a4f9c569ffa45bf4f,2,__isr_table_entry_z_irq_spurious_irq_781,,,,,,,,,,8,
02-1429ee535390ce3368c27ba3ceb3bb86,2,l2cap_recv,,,,,,,,,,156,
02-14531855120b874f1c54ad81f2b1a743,2,mpsl_is_initialized,12,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0
02-14912a8210829214b4cdfa6bd6875bd2,2,k_thread_abort.lto_priv.2,,,,,,,,,,180,
02-14bdef26d7e314b34ae374163ef0e325,2,le_conn_update_complete,,,,,,,,,,336,
02-14c84ab95372a7d1b5a7601b3b934d0d,2,__isr_table_entry__isr_wrapper_irq_392,,,,,,,,,,4,
02-14dabb22e50254fe67bd2c4b6ea29971,2,pm_device_driver_init.lto_priv.1,,,,,,,,,,32,
02-14e96c12cb011a1c738131926ffcd07d,2,notification_cb_flag.lto_priv.0,,,,,,,,,,1,
