uuid,level,name,std1,app1,app1(%),feat1,feat1(%),feat3,feat3(%),feat6,feat6(%),opt2,opt2(%)
02-3e57d9c6a6f211662b3469b4920886b9,2,ops.1,,,,,,,,,,40,
02-3e8dd2b371986dbd9129a20fc78914e8,2,__isr_table_entry_z_irq_spurious_irq_563,,,,,,,,,,8,
02-3ead3c83895be48dd3dbd5197a977955,2,__isr_table_entry_z_irq_spurious_irq_625,,,,,,,,,,8,
02-3eedbbe64a9375b756c5a3304928e466,2,rx_work,,,,,,,,,,16,
02-3f8a9ad4cd1a2f421fe119c6513fed77,2,_char_out.lto_priv.0,,,,,,,,,,4,
02-406b1fcdef03b1b851048a9adada3087,2,sys_work_q_stack,,,,,,,,,,2048,
02-40f5e378ac7f8a1f8421222d9960c5f7,2,procedures_on_connect,,,,,,,,,,16,
02-414cc71d87741a10b1f28b63eb063b1b,2,__isr_table_entry_z_irq_spurious_irq_674,,,,,,,,,,8,
02-41cbb60e3ac104be00d14fb4ac2897dc,2,__isr_table_entry_z_irq_spurious_irq_773,,,,,,,,,,8,
02-41f5c4ae308fa7d85b8c0f9a23aacd89,2,gpio_nrfx_drv_api_funcs.lto_priv.0,,,,,,,,,,36,
02-42f86d67a99165084f6a70befd3ad108,2,__isr_table_entry_z_irq_spurious_irq_762,,,,,,,,,,8,
02-4339c33948cbc877bca41f6222bb59c6,2,__isr_table_entry_z_irq_spurious_irq_643,,,,,,,,,,8,
02-4364a221cc3eb3e35c7403fde88dd5e9,2,sc_ccc.lto_priv.0,,,,,,,,,,36,
02-4386320aeb2fc998b22dee1496aed18e,2,flash_nor_parameters,,,,,,,,,,8,
02-43e69b1afbbf06f120eba809ba1a5fe4,2,__isr_table_entry_z_irq_spurious_irq_593,,,,,,,,,,8,
02-43e8532a0c3d87eaef202cfa1294bee8,2,__isr_table_entry_z_irq_spurious_irq_663,,,,,,,,,,8,
02-44030823eb9c6bd6fa6bdd2a149ed9ce,2,store_id_work,,,,,,,,,,16,
02-449181b22d492532607e1342bd197c04,2,__isr_table_entry_z_irq_spurious_irq_627,,,,,,,,,,8,
02-44f0cbab43d4061c1dc047bd6a579531,2,sym_*,943,943,0.0,943,0.0,943,0.0,943,0.0,1017,7.85
02-4509f0f5c202138f43987e209f9796a2,2,prng.lto_priv.0,,,,,,,,,,64,
02-4527790f301c55e12e9d9eacd6049ff0,2,spi_00z_config,,,,,,,,,,76,
02-45dc2c7a024ae0030919e5a73ee5d190,2,net_buf_data_att_pool,,,,,,,,,,380,
02-45ecbf4a85f7d23b050f9bb46d03dbc3,2,__isr_table_entry_z_irq_spurious_irq_611,,,,,,,,,,8,
02-4687293ff1fdc5b845e8e1f2080248df,2,delay_machine_code.0,,,,,,,,,,6,
02-46bd473590fe0d7091266ed75f84acf6,2,uarte_20z_config,,,,,,,,,,40,
02-47352518f90e6887f4dd7acbc9a14580,2,settings_load_srcs,8,8,0.0,8,0.0,8,0.0,8,0.0,8,0.0
02-47779d3ff6aec9ba5e6058111bd372d7,2,__devstate_dts_ord_91,,,,,,,,,,2,
02-47f06098d3034f593871b524ce4f7965,2,ports,,,,,,,,,,3,
02-484c3e22c0a675bebb47e4b7669baddb,2,__isr_table_entry_z_irq_spurious_irq_590,,,,,,,,,,8,
02-486e6cd412181b733ecb26303f4bd9ba,2,__isr_table_entry_z_irq_spurious_irq_662,,,,,,,,,,8,
02-48e4aa0d21f89bc0fe4d182662350798,2,__isr_table_entry_z_irq_spurious_irq_715,,,,,,,,,,8,
02-491bbb25fea39ee590be0558756b2623,2,normal_events,,,,,,,,,,48,
02-4948eedccbc71144b12d114e7a797a0d,2,__isr_table_entry_z_irq_spurious_irq_759,,,,,,,,,,8,
02-4cbe6dfcb97a737e016ecb524f6cb25b,2,__pinctrl_states__device_dts_ord_91,,,,,,,,,,8,
02-4cedb0880a241a30d61d247643369527,2,__isr_table_entry_z_irq_spurious_irq_771,,,,,,,,,,8,
02-4d349e80eb72987ab3c335792642c9c4,2,__isr_table_entry_z_irq_spurious_irq_737,,,,,,,,,,8,
02-4d36d820831920fd9f41e7b03148ab91,2,__isr_table_entry_z_irq_spurious_irq_688,,,,,,,,,,8,
02-4d52d00180902f839aad5715c8df022d,2,net_buf_fixed_alloc_sync_evt_pool,,,,,,,,,,12,
02-4d77598f8c9fc664c4c1ec0687216eb9,2,__isr_table_entry_z_irq_spurious_irq_560,,,,,,,,,,8,
02-4d8c9a99f9f3d4fb20d71624f6131081,2,__isr_table_entry_z_irq_spurious_irq_547,,,,,,,,,,8,
02-4d9ff4cae398d7999a2626241a8271ff,2,conn_cbs.lto_priv.0,,,,,,,,,,8,
02-4dca0eea1036fa7aab82159243056434,2,__isr_table_entry_z_irq_spurious_irq_735,,,,,,,,,,8,
02-4ee97f6086ad41bf02d475708cafd6f0,2,gpio_nrfx_p2_cfg.lto_priv.0,,,,,,,,,,24,
02-4eeb35f940bad3fd21cfb1a041afd313,2,__isr_table_entry_z_irq_spurious_irq_764,,,,,,,,,,8,
02-4f2eabb2ebb9594b2fd440a6d24b4c5e,2,__isr_table_entry_z_irq_spurious_irq_591,,,,,,,,,,8,
02-4f3ea50b05fd2c7061dc7c52e5453755,2,__isr_table_entry_z_irq_spurious_irq_722,,,,,,,,,,8,
02-50028adf0338f63f0a559b136cffd118,2,free_tx,,,,,,,,,,28,
02-50484c19f1afdaf3841a0d821ed393d2,2,kernel,6038,6038,0.0,6038,0.0,6038,0.0,6038,0.0,,
02-50d211e859046907a51c6d470bdcf12e,2,sc_local_pkey_ready,,,,,,,,,,24,
02-5126693f03ad68e0ad3deb67e08fd609,2,__isr_table_entry_z_irq_spurious_irq_607,,,,,,,,,,8,
02-5144142a2e42ae867ec4f9f3155961ed,2,__isr_table_entry_z_irq_spurious_irq_614,,,,,,,,,,8,
02-51e282ecb968fe77c46b7f5becdfe9b0,2,crc8_ccitt_small_table,,,,,,,,,,16,
02-523af537946b79c4f8369ed39ba78605,2,ad,,,,,,,,,,24,
02-52f305dbb42abc4b3afbbdc1333c96f9,2,__isr_table_entry_z_irq_spurious_irq_746,,,,,,,,,,8,
02-532b7cf399c312ed78f9c904452ed1ee,2,__isr_table_entry_z_irq_spurious_irq_626,,,,,,,,,,8,
02-539bc426bca0b9eadafb554477e2cc60,2,__isr_table_entry_z_irq_spurious_irq_557,,,,,,,,,,8,
02-53dcc91dde99dd5eff3c0d334e2735b3,2,__isr_table_entry_z_irq_spurious_irq_642,,,,,,,,,,8,
02-53e9eae6e9cea5a06e61e79e67b9a031,2,__isr_table_entry_z_irq_spurious_irq_658,,,,,,,,,,8,
02-5426681785af1c3f996166a5629cc52c,2,__isr_table_entry_z_irq_spurious_irq_675,,,,,,,,,,8,
02-54a005cc528cb36555e5783a8223e5e5,2,inv_a,,,,,,,,,,32,
02-54bbe062cc020a9f87f0b6828066eeaf,2,z_malloc_heap,,,,,,,,,,12,
02-568adf19bbb4533ecef8e5bd09f04e13,2,__isr_table_entry_z_irq_spurious_irq_691,,,,,,,,,,8,
02-56a011a18920310e6bde0409b97e7e0d,2,_k_mem_slab_buf_att_slab,,,,,,,,,,96,
02-56abcb07223e29a85d26d755870fc60d,2,sc_range,,,,,,,,,,8,
02-573442d06ab6a002b4cd74a58fc90b5b,2,bt_addr_none,,,,,,,,,,6,
02-58293abdf4814edc30b89a71f41be88f,2,__isr_table_entry_z_irq_spurious_irq_747,,,,,,,,,,8,
02-58ee38df9308863cc8bd829ad5bb20ff,2,__isr_table_entry_z_irq_spurious_irq_708,,,,,,,,,,8,
02-592dcfacd5a731b6b8903a07502c41cd,2,base_point,,,,,,,,,,64,
02-5944ccc98ede485749aa4a06e05889eb,2,__isr_table_entry_z_irq_spurious_irq_727,,,,,,,,,,8,
02-598b7610947d476fddb624460f712be3,2,__isr_table_entry_z_irq_spurious_irq_753,,,,,,,,,,8,
02-5a46f983699ff81b4c73d0ea53d3d175,2,settings_subsys_initialized,,,,,,,,,,1,
02-5a4f5dc7fe05801ad2480c2a2a0542d5,2,attr__1_gatt_svc,,,,,,,,,,160,
02-5a64d28cc54b1ad1265d053db12b4508,2,db.lto_priv.0,,,,,,,,,,8,
02-5b11fa95b59d37b384e8679ecead1b46,2,__isr_table_entry_z_irq_spurious_irq_723,,,,,,,,,,8,
02-5b6a6d09d8257013cc541999d9ff8586,2,ecdh_thread_stack,,,,,,,,,,904,
02-5b7bb533d21149d376c84dca412c7186,2,__isr_table_entry_z_irq_spurious_irq_680,,,,,,,,,,8,
02-5dc388e15b588ae1c21523ff1884e6f2,2,__isr_table_entry_z_irq_spurious_irq_633,,,,,,,,,,8,
02-5dd1e275bada6dcfd76c25f381db6bcd,2,sc_restore_params,,,,,,,,,,48,
02-5df9b1de4c4094f33d502ecf855c39c1,2,net_buf_fixed_fragments,,,,,,,,,,4,
02-5e1497bf88ea1c252050083f2a68ac83,2,cmd_complete_or_status,,,,,,,,,,72,
02-5e1ef73463793ff4e58690c1297a4694,2,__devstate_dts_ord_12.lto_priv.0,,,,,,,,,,2,
02-5f548e824cd4aef16e60702551eceea5,2,continious_report_flag.lto_priv.0,,,,,,,,,,1,
02-602e87fa8ebae555adf03ffe27591545,2,curr_tick,,,,,,,,,,8,
02-60ef67dfea903556003c71470b98e88c,2,__isr_table_entry_z_irq_spurious_irq_725,,,,,,,,,,8,
02-6132bca83a4cd9c08eb8504f1f608b68,2,last_state.0,4,4,0.0,4,0.0,4,0.0,4,0.0,4,0.0
02-6182786963cf650c85f865432288dfd7,2,__isr_table_entry_z_irq_spurious_irq_595,,,,,,,,,,8,
02-6226f7cbe59e99a90b5cef6f94f966fd,2,sd,,,,,,,,,,8,
02-63dcea84fdcbdf06bb0696b61eacdfba,2,__isr_table_entry_z_irq_spurious_irq_664,,,,,,,,,,8,
02-63de3862e1ffedf6c874d890656d63e1,2,sc_supported.lto_priv.0,,,,,,,,,,1,
02-63e87ca8fa5bff4c61d8b59501da01c6,2,__isr_table_entry_z_irq_spurious_irq_597,,,,,,,,,,8,
02-63ef99316b9a208e2cb725a56c2be249,2,__isr_table_entry_z_irq_spurious_irq_575,,,,,,,,,,8,
02-651f1926dd2ac8d66d2503e9d267bfa3,2,pending_cancels.lto_priv.0,,,,,,,,,,8,
02-65506669bc8fef395feaad483c292704,2,__isr_table_entry_z_irq_spurious_irq_760,,,,,,,,,,8,
02-6568cd012f97149c797f738b07b1fd12,2,plat_str.2,,,,,,,,,,16,
02-65901c98ec235d87526274b9a2375d3d,2,irq_enabled,,,,,,,,,,1,
02-65e3af4198a3ba671730e5a1254a1758,2,z_interrupt_stacks,2048,2048,0.0,2048,0.0,2048,0.0,2048,0.0,2048,0.0
02-669fe30281b6369e3003faa8f1e3298f,2,_net_buf_att_pool,,,,,,,,,,200,
02-672bb157265be40c4b1f22e67a85735d,2,__isr_table_entry_z_irq_spurious_irq_726,,,,,,,,,,8,
02-673f31f4bfd65e07133b14e756a08b25,2,bt_l2cap_pool,,,,,,,,,,176,
02-676b69744b13b9a4e38499db2414fb88,2,port_offset.1,,,,,,,,,,16,
